발생일시,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형_대분류,사고유형_중분류,가해자법규위반,가해자_당사자종별,피해자_당사자종별,도로형태id,사고id
2019-10-31 14:00:00+09,1,0,0,0,0,전북,남원시,차량단독,전복,안전운전 의무 불이행,승용차,없음,5,2641
2019-10-31 17:00:00+09,1,0,0,0,0,충남,논산시,차량단독,도로이탈,안전운전 의무 불이행,농기계,없음,5,2642
2019-10-31 18:00:00+09,1,0,0,0,0,경남,양산시,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,5,2643
2019-10-31 19:00:00+09,1,0,0,0,0,전북,김제시,차대사람,횡단중,신호위반,승용차,보행자,1,2644
2019-10-31 20:00:00+09,1,0,0,0,0,인천,서구,차대사람,기타,안전운전 의무 불이행,승합차,보행자,5,2645
2019-10-31 20:00:00+09,1,0,0,0,0,대전,유성구,차대차,측면충돌,신호위반,화물차,이륜차,1,2646
2019-10-31 21:00:00+09,1,0,0,0,0,경기,과천시,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,5,2647
2019-10-31 21:00:00+09,1,0,0,0,0,경기,안양시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,5,2648
2019-10-31 21:00:00+09,1,0,0,0,0,경남,고성군,차대차,추돌,안전운전 의무 불이행,승용차,농기계,5,2649
2019-11-01 01:00:00+09,1,0,0,0,0,대구,북구,차대차,측면충돌,신호위반,승용차,이륜차,1,2650
2019-11-01 05:00:00+09,1,0,0,0,0,전남,여수시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,4,2651
2019-11-01 06:00:00+09,1,0,0,0,0,경남,김해시,차대차,추돌,안전운전 의무 불이행,화물차,화물차,5,2652
2019-11-01 09:00:00+09,1,0,0,0,0,서울,성북구,차량단독,공작물충돌,안전운전 의무 불이행,건설기계,없음,2,2653
2019-11-01 10:00:00+09,1,0,0,0,0,경기,안성시,차대사람,기타,안전운전 의무 불이행,화물차,보행자,5,2654
